Symbol,Stock Price,Normalized Breakeven Difference,Escape Ratio,Variability Ratio,Cost of Strangle,Contract Pairs Tried,Call Expiration,Call Strike,Call Premium,Put Expiration,Put Strike,Put Premium,Upper Breakeven,Lower Breakeven,Breakeven Difference
SHY,$82.52,0.021,0.010,0.190,$135.00,812,2024-11-15,$82.00,$0.72,2024-11-15,$83.00,$0.62,$83.372,$81.628,$1.743
IEF,$95.83,0.023,0.010,0.495,$110.00,"12,324",2024-11-01,$96.00,$0.46,2024-11-01,$96.00,$0.64,$97.122,$94.878,$2.243
IEI,$117.79,0.025,0.011,0.315,$145.00,"2,048",2024-11-15,$118.00,$0.70,2024-11-15,$118.00,$0.75,$119.472,$116.528,$2.943
BOND,$93.36,0.030,0.011,0.271,$137.50,70,2024-11-15,$93.00,$0.65,2024-11-15,$93.00,$0.73,$94.397,$91.603,$2.793
BND,$74.16,0.030,0.013,0.279,$110.00,160,2024-11-15,$74.00,$0.50,2024-11-15,$74.00,$0.60,$75.122,$72.878,$2.243
VTIP,$48.90,0.030,0.013,0.133,$72.50,51,2024-12-20,$49.00,$0.53,2024-11-15,$49.00,$0.20,$49.747,$48.253,$1.493
VCSH,$78.78,0.030,0.012,0.133,$167.50,48,2024-12-20,$78.00,$1.07,2025-02-21,$79.00,$0.60,$79.697,$77.303,$2.393
USIG,$51.78,0.031,0.011,0.245,$77.50,6,2024-11-15,$52.00,$0.25,2024-11-15,$52.00,$0.53,$52.797,$51.203,$1.593
IGIB,$52.96,0.031,0.015,0.230,$80.00,140,2024-11-15,$53.00,$0.38,2024-11-15,$53.00,$0.42,$53.822,$52.178,$1.643
VTC,$78.03,0.032,0.016,0.247,$122.50,70,2024-11-15,$78.00,$0.60,2024-11-15,$78.00,$0.62,$79.247,$76.753,$2.493
VGIT,$59.38,0.033,0.014,0.269,$45.00,72,2024-11-15,$60.00,$0.20,2024-11-15,$59.00,$0.25,$60.472,$58.528,$1.943
MBB,$94.06,0.035,0.017,0.263,$160.00,"1,512",2024-11-15,$94.00,$0.85,2024-11-15,$94.00,$0.75,$95.622,$92.378,$3.243
IUSB,$46.33,0.035,0.010,0.237,$77.50,136,2024-11-15,$46.00,$0.57,2024-11-15,$46.00,$0.20,$46.797,$45.203,$1.593
VMBS,$46.39,0.039,0.011,0.213,$87.50,270,2024-11-15,$46.00,$0.62,2024-11-15,$46.00,$0.25,$46.897,$45.103,$1.793
VCIT,$82.53,0.039,0.019,0.188,$210.00,110,2024-11-15,$82.00,$0.97,2024-12-20,$83.00,$1.12,$84.122,$80.878,$3.243
JNJ,$164.47,0.043,0.018,0.254,$354.00,"15,476",2024-11-01,$165.00,$1.67,2024-11-01,$165.00,$1.87,$168.562,$161.438,$7.123
PEP,$174.67,0.046,0.014,0.325,$531.50,"11,440",2024-11-01,$175.00,$2.12,2024-11-01,$177.50,$3.20,$180.337,$172.163,$8.173
TLT,$93.80,0.047,0.021,0.458,$219.50,"174,250",2024-11-01,$94.00,$0.95,2024-11-01,$94.00,$1.25,$96.217,$91.783,$4.433
BRK.B,$465.69,0.048,0.020,0.173,$862.50,"76,426",2024-11-01,$470.00,$3.95,2024-11-01,$465.00,$4.67,$478.647,$456.353,$22.293
MDT,$89.79,0.051,0.023,0.181,$226.00,"8,160",2024-11-01,$90.00,$1.19,2024-11-01,$90.00,$1.07,$92.282,$87.718,$4.563
ACN,$372.26,0.053,0.013,0.607,$995.00,"23,075",2024-11-01,$377.50,$4.35,2024-11-01,$377.50,$5.60,$387.472,$367.528,$19.943
IBB,$145.69,0.054,0.018,0.227,$395.00,"62,266",2024-11-01,$147.00,$1.48,2024-11-01,$147.00,$2.48,$150.972,$143.028,$7.943
SO,$92.70,0.054,0.019,0.222,$202.50,"16,512",2024-11-01,$94.00,$0.75,2024-11-01,$93.00,$1.27,$96.047,$90.953,$5.093
HRL,$31.56,0.055,0.022,0.209,$60.00,"2,610",2024-11-01,$32.00,$0.25,2024-11-01,$31.50,$0.35,$32.622,$30.878,$1.743
VCLT,$79.16,0.055,0.023,0.229,$167.50,638,2024-11-15,$80.00,$0.62,2024-11-15,$79.00,$1.05,$81.697,$77.303,$4.393
WMT,$80.89,0.055,0.026,0.195,$222.50,"24,308",2024-11-01,$81.00,$1.15,2024-11-01,$81.00,$1.08,$83.247,$78.753,$4.493
CSCO,$56.38,0.055,0.017,0.421,$156.00,"10,406",2024-11-01,$57.00,$0.53,2024-11-01,$57.00,$1.03,$58.582,$55.418,$3.163
STZ,$240.04,0.056,0.023,0.467,$795.00,"29,920",2024-11-01,$240.00,$3.80,2024-11-01,$242.50,$4.15,$247.972,$234.528,$13.443
TJX,$117.48,0.056,0.020,0.284,$280.50,"27,648",2024-11-01,$119.00,$1.01,2024-11-01,$118.00,$1.80,$121.827,$115.173,$6.653
PFF,$33.45,0.057,0.015,0.089,$92.50,506,2024-11-15,$33.00,$0.60,2024-12-20,$33.00,$0.33,$33.947,$32.053,$1.893
PPG,$131.36,0.058,0.024,0.294,$377.50,"26,790",2024-11-01,$132.00,$1.73,2024-11-01,$132.00,$2.05,$135.797,$128.203,$7.593
QQQ,$491.25,0.058,0.017,0.195,$1432.00,"709,018",2024-11-01,$497.00,$5.23,2024-11-01,$497.00,$9.09,$511.342,$482.658,$28.683
JPM,$224.42,0.058,0.026,0.434,$650.00,"37,506",2024-11-01,$225.00,$3.22,2024-11-01,$225.00,$3.28,$231.522,$218.478,$13.043
AZN,$78.31,0.060,0.027,0.151,$281.50,"15,360",2024-11-01,$78.00,$1.25,2024-11-01,$79.00,$1.56,$80.837,$76.163,$4.673
HD,$415.60,0.060,0.022,0.396,$1120.00,"78,528",2024-11-01,$420.00,$4.53,2024-11-01,$417.50,$6.68,$431.222,$406.278,$24.943
ABT,$117.82,0.060,0.020,0.237,$357.00,"22,748",2024-11-01,$119.00,$1.30,2024-11-01,$119.00,$2.27,$122.592,$115.408,$7.183
MAR,$264.57,0.061,0.029,0.474,$1050.00,"19,412",2024-11-01,$262.50,$5.15,2024-11-01,$267.50,$5.35,$273.022,$256.978,$16.043
JEPQ,$54.99,0.061,0.030,0.120,$165.00,"1,155",2024-11-15,$55.00,$0.73,2024-11-15,$55.00,$0.93,$56.672,$53.328,$3.343
LOW,$281.31,0.062,0.027,0.417,$877.50,"32,175",2024-11-01,$282.50,$3.58,2024-11-01,$282.50,$5.20,$291.297,$273.703,$17.593
CAG,$29.72,0.063,0.014,0.781,$67.50,"2,176",2024-11-01,$30.50,$0.30,2024-11-01,$30.00,$0.38,$31.197,$29.303,$1.893
ACWI,$120.00,0.063,0.015,0.125,$380.00,"4,794",2024-11-15,$122.00,$1.12,2024-11-15,$122.00,$2.67,$125.822,$118.178,$7.643
DVY,$137.13,0.063,0.022,0.133,$385.00,"2,124",2024-11-15,$139.00,$1.23,2024-11-15,$138.00,$2.62,$142.872,$134.128,$8.743
