Sat Nov 30 13:49:01 2024    profile_output.prof

         173992666 function calls (171435864 primitive calls) in 60.404 seconds

   Ordered by: cumulative time
   List reduced from 1534 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
320024/288311    0.103    0.000 3672.190    0.013 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/events.py:87(_run)
10321/4338    0.183    0.000  518.656    0.120 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/base_events.py:1947(_run_once)
320984/288311    0.186    0.000  222.514    0.001 {method 'run' of '_contextvars.Context' objects}
91184/83345    0.531    0.000  144.537    0.002 /Users/sdrasco/Desktop/EdgeWalker/src/strangle_finder.py:28(find_balanced_strangle)
13024/593    0.044    0.000   96.054    0.162 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/thread.py:53(run)
10823/4435    0.036    0.000   52.656    0.012 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/selectors.py:540(select)
13024/595    0.210    0.000   48.450    0.081 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:958(getaddrinfo)
12530/4902    0.015    0.000   46.612    0.010 /Users/sdrasco/Desktop/EdgeWalker/src/market_data_client.py:72(get_ticker_details)
5651/5623    0.686    0.000   27.165    0.005 /Users/sdrasco/Desktop/EdgeWalker/src/strangle_finder.py:119(_filter_options)
80448/80345    0.115    0.000   20.730    0.000 /Users/sdrasco/Desktop/EdgeWalker/src/market_data_client.py:36(get_options_chain)
62943/62940    8.176    0.000    8.177    0.000 {method 'control' of 'select.kqueue' objects}
47038/39738    0.022    0.000    8.050    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py:961(_read_ready)
47038/39738    0.050    0.000    7.944    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/selector_events.py:964(_read_ready__get_buffer)
    27006    0.020    0.000    7.781    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:558(_do_handshake)
   174484    0.090    0.000    7.267    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/ops/common.py:62(new_method)
5639/5611    0.048    0.000    6.613    0.001 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:6538(dropna)
     5640    0.027    0.000    6.427    0.001 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:5174(assign)
    73320    0.156    0.000    6.423    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:4271(__setitem__)
273578/267990    0.937    0.000    6.173    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/series.py:389(__init__)
   215938    0.318    0.000    6.138    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:4062(__getitem__)
    27006    0.010    0.000    5.941    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:949(do_handshake)
    73320    0.065    0.000    5.902    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:4514(_set_item)
    13028    0.014    0.000    5.724    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:533(_start_handshake)
13025/11904    0.005    0.000    5.628    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:382(connection_made)
11239/11211    0.052    0.000    5.448    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:694(__init__)
67547/61456    0.041    0.000    5.416    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client.py:1422(__aenter__)
67559/61668    0.139    0.000    5.392    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client.py:470(_request)
34011/29751    0.022    0.000    5.142    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:435(buffer_updated)
        2    0.004    0.002    5.056    2.528 /Users/sdrasco/Desktop/EdgeWalker/src/main.py:29(main)
        1    0.002    0.002    4.998    4.998 /Users/sdrasco/Desktop/EdgeWalker/src/report_writer.py:108(write_html)
    23686    0.069    0.000    4.967    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:1782(_consolidate_inplace)
   174484    0.210    0.000    4.839    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/series.py:6201(_construct_result)
    23662    0.038    0.000    4.816    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/generic.py:6662(copy)
    73320    0.130    0.000    4.573    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:4481(_set_item_mgr)
      982    0.001    0.000    4.545    0.005 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/bs4/element.py:1987(find)
      982    0.001    0.000    4.545    0.005 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/bs4/element.py:2013(find_all)
      982    0.770    0.001    4.544    0.005 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/bs4/element.py:792(_find_all)
    12414    0.103    0.000    4.172    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:2259(_consolidate)
    15772    0.080    0.000    4.144    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/aiohttp/client_reqrep.py:1263(json)
   101634    0.070    0.000    4.086    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:715(_process_outgoing)
    29302    0.045    0.000    3.873    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/managers.py:557(copy)
41193743/41019255    2.669    0.000    3.831    0.000 {built-in method builtins.isinstance}
    14235    0.010    0.000    3.798    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/__init__.py:299(loads)
    14235    3.754    0.000    3.754    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/decoder.py:350(raw_decode)
    14235    0.018    0.000    3.739    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/decoder.py:339(decode)
